"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","800n","~","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","1",""
"C2","800n","~","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","1",""
"C3","800n","~","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","1",""
"C4","0.1u","~","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","1",""
"C5","800n","~","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","1",""
"C6","0.1u","~","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","1",""
"C7","1u","~","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","1",""
"C8","1u","~","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","1",""
"C12","1u","~","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","1",""
"C13","0.1u","~","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","1",""
"C16","10u","~","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","1",""
"C17","10u","~","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","1",""
"C18","1u","~","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","1",""
"C19","10u","~","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","1",""
"C20","1u","~","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","1",""
"C21","10u","~","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","1",""
"C22","10u","~","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","1",""
"C23","800n","~","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","1",""
"C24","800n","~","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","1",""
"C25","800n","~","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","1",""
"C26","1u","~","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","1",""
"C27","1u","~","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","1",""
"C28","1u","~","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","1",""
"C29","10u","~","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","1",""
"C31","1u","~","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","1",""
"C32","0.1u","~","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","1",""
